t	f
0	0
0.01	8.45477E-06
0.02	2.47286E-05
0.03	5.35265E-05
0.04	0.000101615
0.05	0.000178416
0.06	0.000296638
0.07	0.000472866
0.08	0.000727996
0.09	0.00108735
0.1	0.001580235
0.11	0.002238674
0.12	0.003094976
0.13	0.00417778
0.14	0.00550625
0.15	0.007082121
0.16	0.008879487
0.17	0.010832393
0.18	0.012820646
0.19	0.014654647
0.2	0.016060481
0.21	0.016667037
0.22	0.015997322
0.23	0.013466521
0.24	0.008389459
0.25	1.00566E-17
0.26	-0.012515602
0.27	-0.029970294
0.28	-0.05311298
0.29	-0.082552374
0.3	-0.118671796
0.31	-0.161540754
0.32	-0.210830995
0.33	-0.265745998
0.34	-0.324973559
0.35	-0.386670724
0.36	-0.448488833
0.37	-0.507643819
0.38	-0.561033185
0.39	-0.605396601
0.4	-0.637512248
0.41	-0.654416385
0.42	-0.653629683
0.43	-0.633371313
0.44	-0.592740952
0.45	-0.53185009
0.46	-0.451887355
0.47	-0.355107777
0.48	-0.244742512
0.49	-0.124832902
0.5	-2.4503E-16
0.51	0.124832902
0.52	0.244742512
0.53	0.355107777
0.54	0.451887355
0.55	0.53185009
0.56	0.592740952
0.57	0.633371313
0.58	0.653629683
0.59	0.654416385
0.6	0.637512248
0.61	0.605396601
0.62	0.561033185
0.63	0.507643819
0.64	0.448488833
0.65	0.386670724
0.66	0.324973559
0.67	0.265745998
0.68	0.210830995
0.69	0.161540754
0.7	0.118671796
0.71	0.082552374
0.72	0.05311298
0.73	0.029970294
0.74	0.012515602
0.75	3.01699E-17
0.76	-0.008389459
0.77	-0.013466521
0.78	-0.015997322
0.79	-0.016667037
0.8	-0.016060481
0.81	-0.014654647
0.82	-0.012820646
0.83	-0.010832393
0.84	-0.008879487
0.85	-0.007082121
0.86	-0.00550625
0.87	-0.00417778
0.88	-0.003094976
0.89	-0.002238674
0.9	-0.001580235
0.91	-0.00108735
0.92	-0.000727996
0.93	-0.000472866
0.94	-0.000296638
0.95	-0.000178416
0.96	-0.000101615
0.97	-5.35265E-05
0.98	-2.47286E-05
0.99	-8.45477E-06
1	-2.22487E-20
