t	f
0	0
0.01	2.88963E-11
0.02	1.03587E-10
0.03	2.75461E-10
0.04	6.43993E-10
0.05	1.39597E-09
0.06	2.8729E-09
0.07	5.68439E-09
0.08	1.08946E-08
0.09	2.03226E-08
0.1	3.70153E-08
0.11	6.59769E-08
0.12	1.15267E-07
0.13	1.97616E-07
0.14	3.32735E-07
0.15	5.50528E-07
0.16	8.95418E-07
0.17	1.43192E-06
0.18	2.25149E-06
0.19	3.48035E-06
0.2	5.28741E-06
0.21	7.8907E-06
0.22	1.15591E-05
0.23	1.66042E-05
0.24	2.3355E-05
0.25	3.21026E-05
0.26	4.29996E-05
0.27	5.58911E-05
0.28	7.00485E-05
0.29	8.37691E-05
0.3	9.37988E-05
0.31	9.45291E-05
0.32	7.69173E-05
0.33	2.7083E-05
0.34	-7.54567E-05
0.35	-0.000259925
0.36	-0.000566775
0.37	-0.001050458
0.38	-0.001782329
0.39	-0.002853452
0.4	-0.004376992
0.41	-0.00648976
0.42	-0.009352379
0.43	-0.013147467
0.44	-0.018075202
0.45	-0.024345615
0.46	-0.032167101
0.47	-0.041730787
0.48	-0.053190711
0.49	-0.066640158
0.5	-0.082084999
0.51	-0.099415433
0.52	-0.118378105
0.53	-0.138551093
0.54	-0.159324694
0.55	-0.179891115
0.56	-0.199246142
0.57	-0.216205457
0.58	-0.229437508
0.59	-0.237513755
0.6	-0.23897565
0.61	-0.232416119
0.62	-0.21657158
0.63	-0.190418963
0.64	-0.153270861
0.65	-0.104861158
0.66	-0.045413258
0.67	0.024316387
0.68	0.103025451
0.69	0.18888756
0.7	0.279610139
0.71	0.372526707
0.72	0.464719006
0.73	0.553161608
0.74	0.634879386
0.75	0.707106781
0.76	0.767437346
0.77	0.813952589
0.78	0.845320733
0.79	0.860858427
0.8	0.860551523
0.81	0.845034367
0.82	0.815530423
0.83	0.773759976
0.84	0.721823073
0.85	0.662067294
0.86	0.596950589
0.87	0.528909016
0.88	0.460238035
0.89	0.392994194
0.9	0.328921764
0.91	0.269406472
0.92	0.215456161
0.93	0.167706143
0.94	0.126445447
0.95	0.091659101
0.96	0.063081109
0.97	0.040252814
0.98	0.022581831
0.99	0.009397525
1	3.01699E-17
