t	f
0	0
0.01	0.009397525
0.02	0.022581831
0.03	0.040252814
0.04	0.063081109
0.05	0.091659101
0.06	0.126445447
0.07	0.167706143
0.08	0.215456161
0.09	0.269406472
0.1	0.328921764
0.11	0.392994194
0.12	0.460238035
0.13	0.528909016
0.14	0.596950589
0.15	0.662067294
0.16	0.721823073
0.17	0.773759976
0.18	0.815530423
0.19	0.845034367
0.2	0.860551523
0.21	0.860858427
0.22	0.845320733
0.23	0.813952589
0.24	0.767437346
0.25	0.707106781
0.26	0.634879386
0.27	0.553161608
0.28	0.464719006
0.29	0.372526707
0.3	0.279610139
0.31	0.18888756
0.32	0.103025451
0.33	0.024316387
0.34	-0.045413258
0.35	-0.104861158
0.36	-0.153270861
0.37	-0.190418963
0.38	-0.21657158
0.39	-0.232416119
0.4	-0.23897565
0.41	-0.237513755
0.42	-0.229437508
0.43	-0.216205457
0.44	-0.199246142
0.45	-0.179891115
0.46	-0.159324694
0.47	-0.138551093
0.48	-0.118378105
0.49	-0.099415433
0.5	-0.082084999
0.51	-0.066640158
0.52	-0.053190711
0.53	-0.041730787
0.54	-0.032167101
0.55	-0.024345615
0.56	-0.018075202
0.57	-0.013147467
0.58	-0.009352379
0.59	-0.00648976
0.6	-0.004376992
0.61	-0.002853452
0.62	-0.001782329
0.63	-0.001050458
0.64	-0.000566775
0.65	-0.000259925
0.66	-7.54567E-05
0.67	2.7083E-05
0.68	7.69173E-05
0.69	9.45291E-05
0.7	9.37988E-05
0.71	8.37691E-05
0.72	7.00485E-05
0.73	5.58911E-05
0.74	4.29996E-05
0.75	3.21026E-05
0.76	2.3355E-05
0.77	1.66042E-05
0.78	1.15591E-05
0.79	7.8907E-06
0.8	5.28741E-06
0.81	3.48035E-06
0.82	2.25149E-06
0.83	1.43192E-06
0.84	8.95418E-07
0.85	5.50528E-07
0.86	3.32735E-07
0.87	1.97616E-07
0.88	1.15267E-07
0.89	6.59769E-08
0.9	3.70153E-08
0.91	2.03226E-08
0.92	1.08946E-08
0.93	5.68439E-09
0.94	2.8729E-09
0.95	1.39597E-09
0.96	6.43993E-10
0.97	2.75461E-10
0.98	1.03587E-10
0.99	2.88963E-11
1	6.21848E-26
