t	f
0	0
0.01	0.003136635
0.02	0.007567056
0.03	0.01357794
0.04	0.02147686
0.05	0.031583574
0.06	0.044218606
0.07	0.059689249
0.08	0.078273311
0.09	0.100201174
0.1	0.125636934
0.11	0.154659621
0.12	0.18724564
0.13	0.223253686
0.14	0.262413398
0.15	0.304318933
0.16	0.348428462
0.17	0.394070324
0.18	0.440456181
0.19	0.48670111
0.2	0.53185009
0.21	0.574909881
0.22	0.614884865
0.23	0.650815074
0.24	0.681814387
0.25	0.707106781
0.26	0.726058577
0.27	0.738204797
0.28	0.743268121
0.29	0.741169352
0.3	0.732028848
0.31	0.716158936
0.32	0.694047885
0.33	0.666336527
0.34	0.633789019
0.35	0.597259534
0.36	0.557656858
0.37	0.515908829
0.38	0.472928502
0.39	0.429583625
0.4	0.386670724
0.41	0.344894702
0.42	0.304854418
0.43	0.267034349
0.44	0.231802052
0.45	0.199410837
0.46	0.170006849
0.47	0.143639597
0.48	0.120274912
0.49	0.099809335
0.5	0.082084999
0.51	0.066904198
0.52	0.054043002
0.53	0.043263415
0.54	0.034323791
0.55	0.026987322
0.56	0.021028608
0.57	0.016238375
0.58	0.012426538
0.59	0.009423807
0.6	0.007082121
0.61	0.005274144
0.62	0.003892082
0.63	0.002846044
0.64	0.002062139
0.65	0.001480458
0.66	0.001053077
0.67	0.000742149
0.68	0.000518166
0.69	0.000358403
0.7	0.000245568
0.71	0.000166665
0.72	0.000112035
0.73	7.45878E-05
0.74	4.9175E-05
0.75	3.21026E-05
0.76	2.07493E-05
0.77	1.32763E-05
0.78	8.40806E-06
0.79	5.26967E-06
0.8	3.2678E-06
0.81	2.00452E-06
0.82	1.216E-06
0.83	7.29267E-07
0.84	4.32224E-07
0.85	2.5305E-07
0.86	1.46267E-07
0.87	8.34143E-08
0.88	4.6896E-08
0.89	2.59647E-08
0.9	1.41386E-08
0.91	7.55863E-09
0.92	3.95791E-09
0.93	2.02316E-09
0.94	1.00467E-09
0.95	4.81017E-10
0.96	2.19256E-10
0.97	9.29175E-11
0.98	3.47115E-11
0.99	9.64477E-12
1	2.07283E-26
