t	f
0	0
0.01	0.012515602
0.02	0.029970294
0.03	0.05311298
0.04	0.082552374
0.05	0.118671796
0.06	0.161540754
0.07	0.210830995
0.08	0.265745998
0.09	0.324973559
0.1	0.386670724
0.11	0.448488833
0.12	0.507643819
0.13	0.561033185
0.14	0.605396601
0.15	0.637512248
0.16	0.654416385
0.17	0.653629683
0.18	0.633371313
0.19	0.592740952
0.2	0.53185009
0.21	0.451887355
0.22	0.355107777
0.23	0.244742512
0.24	0.124832902
0.25	1.22515E-16
0.26	-0.124832902
0.27	-0.244742512
0.28	-0.355107777
0.29	-0.451887355
0.3	-0.53185009
0.31	-0.592740952
0.32	-0.633371313
0.33	-0.653629683
0.34	-0.654416385
0.35	-0.637512248
0.36	-0.605396601
0.37	-0.561033185
0.38	-0.507643819
0.39	-0.448488833
0.4	-0.386670724
0.41	-0.324973559
0.42	-0.265745998
0.43	-0.210830995
0.44	-0.161540754
0.45	-0.118671796
0.46	-0.082552374
0.47	-0.05311298
0.48	-0.029970294
0.49	-0.012515602
0.5	-2.01133E-17
0.51	0.008389459
0.52	0.013466521
0.53	0.015997322
0.54	0.016667037
0.55	0.016060481
0.56	0.014654647
0.57	0.012820646
0.58	0.010832393
0.59	0.008879487
0.6	0.007082121
0.61	0.00550625
0.62	0.00417778
0.63	0.003094976
0.64	0.002238674
0.65	0.001580235
0.66	0.00108735
0.67	0.000727996
0.68	0.000472866
0.69	0.000296638
0.7	0.000178416
0.71	0.000101615
0.72	5.35265E-05
0.73	2.47286E-05
0.74	8.45477E-06
0.75	1.66865E-20
0.76	-3.79898E-06
0.77	-4.99263E-06
0.78	-4.85581E-06
0.79	-4.14204E-06
0.8	-3.2678E-06
0.81	-2.44126E-06
0.82	-1.74859E-06
0.83	-1.20961E-06
0.84	-8.118E-07
0.85	-5.3011E-07
0.86	-3.37442E-07
0.87	-2.09619E-07
0.88	-1.2714E-07
0.89	-7.52935E-08
0.9	-4.35141E-08
0.91	-2.45142E-08
0.92	-1.34375E-08
0.93	-7.1461E-09
0.94	-3.67028E-09
0.95	-1.80737E-09
0.96	-8.42774E-10
0.97	-3.63467E-10
0.98	-1.37479E-10
0.99	-3.8484E-11
1	-8.2913E-26
