t	f
0	0
0.01	6.34839E-06
0.02	1.86324E-05
0.03	4.05662E-05
0.04	7.76473E-05
0.05	0.000137804
0.06	0.000232192
0.07	0.000376143
0.08	0.00059023
0.09	0.000901425
0.1	0.001344228
0.11	0.001961667
0.12	0.002805955
0.13	0.003938565
0.14	0.005429431
0.15	0.007354903
0.16	0.009794099
0.17	0.012823273
0.18	0.016507895
0.19	0.02089223
0.2	0.025986404
0.21	0.031751185
0.22	0.038081025
0.23	0.044786292
0.24	0.05157602
0.25	0.058042859
0.26	0.063652273
0.27	0.067738195
0.28	0.06950738
0.29	0.068054492
0.3	0.062389455
0.31	0.051477865
0.32	0.034294194
0.33	0.009886305
0.34	-0.022551557
0.35	-0.063601507
0.36	-0.113545846
0.37	-0.172298203
0.38	-0.239348612
0.39	-0.313728945
0.4	-0.394004237
0.41	-0.478293967
0.42	-0.564325208
0.43	-0.649517087
0.44	-0.731093206
0.45	-0.806216043
0.46	-0.872134992
0.47	-0.926337983
0.48	-0.96669572
0.49	-0.991587671
0.5	-1
0.51	-0.991587671
0.52	-0.96669572
0.53	-0.926337983
0.54	-0.872134992
0.55	-0.806216043
0.56	-0.731093206
0.57	-0.649517087
0.58	-0.564325208
0.59	-0.478293967
0.6	-0.394004237
0.61	-0.313728945
0.62	-0.239348612
0.63	-0.172298203
0.64	-0.113545846
0.65	-0.063601507
0.66	-0.022551557
0.67	0.009886305
0.68	0.034294194
0.69	0.051477865
0.7	0.062389455
0.71	0.068054492
0.72	0.06950738
0.73	0.067738195
0.74	0.063652273
0.75	0.058042859
0.76	0.05157602
0.77	0.044786292
0.78	0.038081025
0.79	0.031751185
0.8	0.025986404
0.81	0.02089223
0.82	0.016507895
0.83	0.012823273
0.84	0.009794099
0.85	0.007354903
0.86	0.005429431
0.87	0.003938565
0.88	0.002805955
0.89	0.001961667
0.9	0.001344228
0.91	0.000901425
0.92	0.00059023
0.93	0.000376143
0.94	0.000232192
0.95	0.000137804
0.96	7.76473E-05
0.97	4.05662E-05
0.98	1.86324E-05
0.99	6.34839E-06
1	1.66865E-20
