t	f
0	0
0.01	9.64477E-12
0.02	3.47115E-11
0.03	9.29175E-11
0.04	2.19256E-10
0.05	4.81017E-10
0.06	1.00467E-09
0.07	2.02316E-09
0.08	3.95791E-09
0.09	7.55863E-09
0.1	1.41386E-08
0.11	2.59647E-08
0.12	4.6896E-08
0.13	8.34143E-08
0.14	1.46267E-07
0.15	2.5305E-07
0.16	4.32224E-07
0.17	7.29267E-07
0.18	1.216E-06
0.19	2.00452E-06
0.2	3.2678E-06
0.21	5.26967E-06
0.22	8.40806E-06
0.23	1.32763E-05
0.24	2.07493E-05
0.25	3.21026E-05
0.26	4.9175E-05
0.27	7.45878E-05
0.28	0.000112035
0.29	0.000166665
0.3	0.000245568
0.31	0.000358403
0.32	0.000518166
0.33	0.000742149
0.34	0.001053077
0.35	0.001480458
0.36	0.002062139
0.37	0.002846044
0.38	0.003892082
0.39	0.005274144
0.4	0.007082121
0.41	0.009423807
0.42	0.012426538
0.43	0.016238375
0.44	0.021028608
0.45	0.026987322
0.46	0.034323791
0.47	0.043263415
0.48	0.054043002
0.49	0.066904198
0.5	0.082084999
0.51	0.099809335
0.52	0.120274912
0.53	0.143639597
0.54	0.170006849
0.55	0.199410837
0.56	0.231802052
0.57	0.267034349
0.58	0.304854418
0.59	0.344894702
0.6	0.386670724
0.61	0.429583625
0.62	0.472928502
0.63	0.515908829
0.64	0.557656858
0.65	0.597259534
0.66	0.633789019
0.67	0.666336527
0.68	0.694047885
0.69	0.716158936
0.7	0.732028848
0.71	0.741169352
0.72	0.743268121
0.73	0.738204797
0.74	0.726058577
0.75	0.707106781
0.76	0.681814387
0.77	0.650815074
0.78	0.614884865
0.79	0.574909881
0.8	0.53185009
0.81	0.48670111
0.82	0.440456181
0.83	0.394070324
0.84	0.348428462
0.85	0.304318933
0.86	0.262413398
0.87	0.223253686
0.88	0.18724564
0.89	0.154659621
0.9	0.125636934
0.91	0.100201174
0.92	0.078273311
0.93	0.059689249
0.94	0.044218606
0.95	0.031583574
0.96	0.02147686
0.97	0.01357794
0.98	0.007567056
0.99	0.003136635
1	1.00566E-17
