t	f
0	0
0.01	2.11892E-06
0.02	6.24362E-06
0.03	1.36836E-05
0.04	2.64361E-05
0.05	4.7484E-05
0.06	8.11988E-05
0.07	0.000133875
0.08	0.000214425
0.09	0.00033527
0.1	0.000513449
0.11	0.000771998
0.12	0.001141589
0.13	0.001662477
0.14	0.002386723
0.15	0.003380678
0.16	0.004727672
0.17	0.0065308
0.18	0.008915675
0.19	0.012032968
0.2	0.016060481
0.21	0.021204497
0.22	0.027700073
0.23	0.035809941
0.24	0.045821685
0.25	0.058042859
0.26	0.072793793
0.27	0.090397923
0.28	0.111169587
0.29	0.135399429
0.3	0.163337714
0.31	0.195176079
0.32	0.231028472
0.33	0.270912215
0.34	0.314730312
0.35	0.362256219
0.36	0.413122361
0.37	0.466813613
0.38	0.522666827
0.39	0.579877239
0.4	0.637512248
0.41	0.694532641
0.42	0.749820875
0.43	0.802215518
0.44	0.850550495
0.45	0.893697368
0.46	0.93060855
0.47	0.960359186
0.48	0.98218537
0.49	0.99551652
0.5	1
0.51	0.99551652
0.52	0.98218537
0.53	0.960359186
0.54	0.93060855
0.55	0.893697368
0.56	0.850550495
0.57	0.802215518
0.58	0.749820875
0.59	0.694532641
0.6	0.637512248
0.61	0.579877239
0.62	0.522666827
0.63	0.466813613
0.64	0.413122361
0.65	0.362256219
0.66	0.314730312
0.67	0.270912215
0.68	0.231028472
0.69	0.195176079
0.7	0.163337714
0.71	0.135399429
0.72	0.111169587
0.73	0.090397923
0.74	0.072793793
0.75	0.058042859
0.76	0.045821685
0.77	0.035809941
0.78	0.027700073
0.79	0.021204497
0.8	0.016060481
0.81	0.012032968
0.82	0.008915675
0.83	0.0065308
0.84	0.004727672
0.85	0.003380678
0.86	0.002386723
0.87	0.001662477
0.88	0.001141589
0.89	0.000771998
0.9	0.000513449
0.91	0.00033527
0.92	0.000214425
0.93	0.000133875
0.94	8.11988E-05
0.95	4.7484E-05
0.96	2.64361E-05
0.97	1.36836E-05
0.98	6.24362E-06
0.99	2.11892E-06
1	5.56217E-21
