t	f
0	0
0.01	3.8484E-11
0.02	1.37479E-10
0.03	3.63467E-10
0.04	8.42774E-10
0.05	1.80737E-09
0.06	3.67028E-09
0.07	7.1461E-09
0.08	1.34375E-08
0.09	2.45142E-08
0.1	4.35141E-08
0.11	7.52935E-08
0.12	1.2714E-07
0.13	2.09619E-07
0.14	3.37442E-07
0.15	5.3011E-07
0.16	8.118E-07
0.17	1.20961E-06
0.18	1.74859E-06
0.19	2.44126E-06
0.2	3.2678E-06
0.21	4.14204E-06
0.22	4.85581E-06
0.23	4.99263E-06
0.24	3.79898E-06
0.25	5.56217E-21
0.26	-8.45477E-06
0.27	-2.47286E-05
0.28	-5.35265E-05
0.29	-0.000101615
0.3	-0.000178416
0.31	-0.000296638
0.32	-0.000472866
0.33	-0.000727996
0.34	-0.00108735
0.35	-0.001580235
0.36	-0.002238674
0.37	-0.003094976
0.38	-0.00417778
0.39	-0.00550625
0.4	-0.007082121
0.41	-0.008879487
0.42	-0.010832393
0.43	-0.012820646
0.44	-0.014654647
0.45	-0.016060481
0.46	-0.016667037
0.47	-0.015997322
0.48	-0.013466521
0.49	-0.008389459
0.5	-2.01133E-17
0.51	0.012515602
0.52	0.029970294
0.53	0.05311298
0.54	0.082552374
0.55	0.118671796
0.56	0.161540754
0.57	0.210830995
0.58	0.265745998
0.59	0.324973559
0.6	0.386670724
0.61	0.448488833
0.62	0.507643819
0.63	0.561033185
0.64	0.605396601
0.65	0.637512248
0.66	0.654416385
0.67	0.653629683
0.68	0.633371313
0.69	0.592740952
0.7	0.53185009
0.71	0.451887355
0.72	0.355107777
0.73	0.244742512
0.74	0.124832902
0.75	3.67545E-16
0.76	-0.124832902
0.77	-0.244742512
0.78	-0.355107777
0.79	-0.451887355
0.8	-0.53185009
0.81	-0.592740952
0.82	-0.633371313
0.83	-0.653629683
0.84	-0.654416385
0.85	-0.637512248
0.86	-0.605396601
0.87	-0.561033185
0.88	-0.507643819
0.89	-0.448488833
0.9	-0.386670724
0.91	-0.324973559
0.92	-0.265745998
0.93	-0.210830995
0.94	-0.161540754
0.95	-0.118671796
0.96	-0.082552374
0.97	-0.05311298
0.98	-0.029970294
0.99	-0.012515602
1	-4.02265E-17
