t	f
0	0
0.01	0.006270174
0.02	0.015104248
0.03	0.02703536
0.04	0.042615016
0.05	0.062389455
0.06	0.086870746
0.07	0.116503477
0.08	0.151628422
0.09	0.192445109
0.1	0.23897565
0.11	0.291032527
0.12	0.348193187
0.13	0.409784207
0.14	0.474877484
0.15	0.542300309
0.16	0.610660377
0.17	0.678385779
0.18	0.743778907
0.19	0.805082068
0.2	0.860551523
0.21	0.908535848
0.22	0.947553862
0.23	0.976367182
0.24	0.994042595
0.25	1
0.26	0.994042595
0.27	0.976367182
0.28	0.947553862
0.29	0.908535848
0.3	0.860551523
0.31	0.805082068
0.32	0.743778907
0.33	0.678385779
0.34	0.610660377
0.35	0.542300309
0.36	0.474877484
0.37	0.409784207
0.38	0.348193187
0.39	0.291032527
0.4	0.23897565
0.41	0.192445109
0.42	0.151628422
0.43	0.116503477
0.44	0.086870746
0.45	0.062389455
0.46	0.042615016
0.47	0.02703536
0.48	0.015104248
0.49	0.006270174
0.5	1.00566E-17
0.51	-0.004203023
0.52	-0.006786776
0.53	-0.008142894
0.54	-0.008603823
0.55	-0.008443495
0.56	-0.007880736
0.57	-0.007084584
0.58	-0.006180709
0.59	-0.005258317
0.6	-0.004376992
0.61	-0.003573105
0.62	-0.002865542
0.63	-0.002260601
0.64	-0.001756032
0.65	-0.001344228
0.66	-0.001014647
0.67	-0.000755569
0.68	-0.000555295
0.69	-0.000402904
0.7	-0.000288683
0.71	-0.0002043
0.72	-0.000142828
0.73	-9.86516E-05
0.74	-6.73252E-05
0.75	-4.53999E-05
0.76	-3.02512E-05
0.77	-1.99174E-05
0.78	-1.2957E-05
0.79	-8.32772E-06
0.8	-5.28741E-06
0.81	-3.3158E-06
0.82	-2.0534E-06
0.83	-1.25542E-06
0.84	-7.57521E-07
0.85	-4.50938E-07
0.86	-2.64692E-07
0.87	-1.53108E-07
0.88	-8.72056E-08
0.89	-4.88593E-08
0.9	-2.68932E-08
0.91	-1.4517E-08
0.92	-7.66714E-09
0.93	-3.94888E-09
0.94	-1.97374E-09
0.95	-9.5019E-10
0.96	-4.35055E-10
0.97	-1.8501E-10
0.98	-6.92859E-11
0.99	-1.928E-11
1	-4.14565E-26
